Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Eli Manning,QB,34,"$14,450,000",10.09%,"($80,250,000)","$5,500,000","$6,200,000",-,-,-,"$500,000","$2,250,000",-,table_active,2015
Jason Pierre-Paul,DE,26,"$7,350,000",5.13%,"($1,500,000)","$1,500,000",-,-,"$1,500,000",-,-,-,"$4,350,000",table_active,2015
Dominique Rodgers-Cromartie,CB,29,"$7,250,000",5.06%,"($11,250,000)","$4,230,000","$2,000,000",-,"$1,000,000",-,"$20,000",-,-,table_active,2015
Prince Amukamara,CB,26,"$6,898,000",4.81%,"($6,898,000)","$6,898,000",-,-,-,-,-,-,-,table_active,2015
Rashad Jennings,RB,30,"$2,812,500",1.96%,"($1,707,500)","$2,230,000","$562,500",-,-,-,"$20,000",-,-,table_active,2015
Ereck Flowers,RT,21,"$2,616,676",1.83%,"($14,391,719)","$435,000","$2,181,676",-,-,-,-,-,-,table_active,2015
Shane Vereen,RB,26,"$2,516,666",1.76%,"($4,850,000)","$1,250,000","$1,166,666",-,-,-,"$100,000",-,-,table_active,2015
Robert Ayers,DE,30,"$2,437,500",1.70%,"($520,000)","$1,230,000","$500,000",-,"$687,500",-,"$20,000",-,-,table_active,2015
"Odell Beckham, Jr.",WR,23,"$2,365,045",1.65%,"($8,514,162)","$893,009","$1,472,036",-,-,-,-,-,-,table_active,2015
Justin Pugh,G,25,"$2,276,154",1.59%,"($4,545,897)","$1,163,718","$1,112,436",-,-,-,-,-,-,table_active,2015
Cullen Jenkins,DE,34,"$2,091,668",1.46%,"($716,668)","$1,000,000","$666,668",-,"$375,000",-,"$50,000",-,-,table_active,2015
Dwayne Harris,WR,28,"$1,800,000",1.26%,"($7,125,000)","$975,000","$800,000",-,-,-,"$25,000",-,-,table_active,2015
Jonathan Casillas,OLB,28,"$1,666,666",1.16%,"($3,000,000)","$975,000","$666,666",-,-,-,"$25,000",-,-,table_active,2015
Trumaine McBride,CB,30,"$1,550,000",1.08%,"($75,000)","$1,000,000","$50,000",-,"$475,000",-,"$25,000",-,-,table_active,2015
John Jerry,G,29,"$1,400,000",0.98%,"($1,050,000)","$850,000","$400,000",-,"$100,000",-,"$50,000",-,-,table_active,2015
Josh Brown,K,36,"$1,350,000",0.94%,"($25,000)","$1,000,000",-,-,"$225,000",-,"$25,000",-,"$100,000",table_active,2015
Marshall Newhouse,RT,27,"$1,300,000",0.91%,"($1,050,000)","$850,000","$400,000",-,-,-,"$50,000",-,-,table_active,2015
George Selvie,DE,28,"$1,200,000",0.84%,"($225,000)","$975,000","$200,000",-,-,-,"$25,000",-,-,table_active,2015
Mark Herzlich,OLB,28,"$1,200,000",0.84%,"($1,400,000)","$950,000","$200,000",-,-,-,"$50,000",-,-,table_active,2015
Landon Collins,FS,21,"$1,112,828",0.78%,"($4,024,522)","$435,000","$677,828",-,-,-,-,-,-,table_active,2015
Weston Richburg,C,24,"$1,108,489",0.77%,"($2,042,071)","$641,698","$466,791",-,-,-,-,-,-,table_active,2015
Rueben Randle,WR,24,"$1,047,432",0.73%,"($233,533)","$813,899","$208,533",-,-,-,"$25,000",-,-,table_active,2015
Jayron Hosley,CB,25,"$796,250",0.56%,"($136,250)","$660,000","$128,750",-,-,-,"$7,500",-,-,table_active,2015
Jay Bromley,DT,23,"$705,969",0.49%,"($517,907)","$510,000","$160,969",-,-,-,"$35,000",-,-,table_active,2015
Dallas Reynolds,G,31,"$700,000",0.49%,"($40,000)","$660,000","$25,000",-,-,-,"$15,000",-,-,table_active,2015
Ryan Nassib,QB,25,"$698,400",0.49%,"($226,800)","$585,000","$113,400",-,-,-,-,-,-,table_active,2015
Andre Williams,RB,23,"$623,400",0.44%,"($340,200)","$510,000","$113,400",-,-,-,-,-,-,table_active,2015
Craig Dahl,SS,30,"$585,000",0.41%,-,"$870,000",-,-,-,-,-,-,-,table_active,2015
Jasper Brinkley,ILB,30,"$585,000",0.41%,-,"$745,000",-,-,-,-,-,-,-,table_active,2015
Trevin Wade,CB,26,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_active,2015
Kerry Wynn,DE,24,"$512,500",0.36%,"($5,000)","$510,000","$2,500",-,-,-,-,-,-,table_active,2015
Orleans Darkwa,RB,23,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Brad Wing,P,24,"$510,000",0.36%,-,"$510,000",-,-,-,-,-,-,-,table_active,2015
Geremy Davis,WR,23,"$466,770",0.33%,"($127,082)","$435,000","$31,770",-,-,-,-,-,-,table_active,2015
Bobby Hart,RT,21,"$452,897",0.32%,"($71,589)","$435,000","$17,897",-,-,-,-,-,-,table_active,2015
Uani Unga,ILB,28,"$435,000",0.30%,-,"$435,000",-,-,-,-,-,-,-,table_active,2015
Myles White,WR,25,"$390,000",0.27%,-,"$390,000",-,-,-,-,-,-,-,table_active,2015
Will Tye,TE,24,"$358,235",0.25%,-,"$358,235",-,-,-,-,-,-,-,table_active,2015
Montori Hughes,DT,25,"$275,294",0.19%,-,"$275,294",-,-,-,-,-,-,-,table_active,2015
Hakeem Nicks,WR,27,"$240,882",0.17%,-,"$306,764",-,-,-,-,-,-,-,table_active,2015
Jerome Cunningham,TE,24,"$230,294",0.16%,-,"$230,294",-,-,-,-,-,-,-,table_active,2015
Cooper Taylor,FS,25,"$210,000",0.15%,-,"$210,000",-,-,-,-,-,-,-,table_active,2015
Emmett Cleary,RT,25,"$179,117",0.13%,-,"$179,117",-,-,-,-,-,-,-,table_active,2015
Adam Gettis,G,27,"$172,058",0.12%,-,"$172,058",-,-,-,-,-,-,-,table_active,2015
Stansly Maponga,DE,24,"$137,647",0.10%,-,"$137,647",-,-,-,-,-,-,-,table_active,2015
Tramain Jacobs,CB,23,"$120,000",0.08%,-,"$120,000",-,-,-,-,-,-,-,table_active,2015
Barry Cofield,DT,31,"$103,235",0.07%,-,"$153,529",-,-,-,-,-,-,-,table_active,2015
Brandon Meriweather,SS,31,"$102,352",0.07%,-,"$102,352",-,-,-,-,-,-,-,table_active,2015
Brad Bars,DE,23,"$51,176",0.04%,-,"$51,176",-,-,-,-,-,-,-,table_active,2015
Ben Edwards,WR,23,"$51,176",0.04%,-,"$51,176",-,-,-,-,-,-,-,table_active,2015
Matt LaCosse,TE,23,"$51,176",0.04%,-,"$51,176",-,-,-,-,-,-,-,table_active,2015
Nico Johnson,ILB,25,"$30,000",0.02%,-,"$30,000",-,-,-,-,-,-,-,table_active,2015
Tyler Ott,LS,23,"$25,588",0.02%,-,"$25,588",-,-,-,-,-,-,-,table_active,2015
Victor Cruz,WR,29,"$8,125,000",5.67%,"($5,775,000)","$6,150,000","$1,900,000",-,-,-,"$75,000",-,-,table_injured,2015
Jon Beason,ILB,30,"$4,154,166",2.90%,"($3,933,334)","$1,900,000","$1,466,666",-,"$687,500",-,"$100,000",-,-,table_injured,2015
Geoff Schwartz,G,29,"$2,845,833",1.99%,"($3,900,000)","$1,675,000","$800,000",-,"$187,500",-,"$25,000","$158,333",-,table_injured,2015
J.T. Thomas,OLB,27,"$2,000,000",1.40%,"($4,525,000)","$975,000","$1,000,000",-,-,-,"$25,000",-,-,table_injured,2015
Zak DeOssie,LS,31,"$1,200,000",0.84%,"($225,000)","$975,000","$200,000",-,-,-,"$25,000",-,-,table_injured,2015
Johnathan Hankins,DT,23,"$1,099,278",0.77%,"($655,704)","$771,426","$327,852",-,-,-,-,-,-,table_injured,2015
Brandon Mosley,G,27,"$735,146",0.51%,"($75,146)","$660,000","$75,146",-,-,-,-,-,-,table_injured,2015
Markus Kuhn,DT,29,"$671,474",0.47%,"($11,474)","$660,000","$11,474",-,-,-,-,-,-,table_injured,2015
Daniel Fells,TE,32,"$665,000",0.46%,"($80,000)","$870,000","$80,000",-,-,-,-,-,-,table_injured,2015
Owamagbe Odighizuwa,DE,23,"$620,125",0.43%,"($740,500)","$435,000","$185,125",-,-,-,-,-,-,table_injured,2015
Larry Donnell,TE,27,"$585,000",0.41%,-,"$585,000",-,-,-,-,-,-,-,table_injured,2015
Devon Kennard,OLB,24,"$535,728",0.37%,"($108,420)","$499,588","$36,140",-,-,-,-,-,-,table_injured,2015
Nikita Whitlock,FB,24,"$421,235",0.29%,-,"$421,235",-,-,-,-,-,-,-,table_injured,2015
Nat Berhe,SS,24,"$381,200",0.27%,"($144,600)","$333,000","$48,200",-,-,-,-,-,-,table_injured,2015
Mykkele Thompson,FS,22,"$375,215",0.26%,"($228,863)","$318,000","$57,215",-,-,-,-,-,-,table_injured,2015
Justin Currie,SS,22,"$318,000",0.22%,-,"$318,000",-,-,-,-,-,-,-,table_injured,2015
Marcus Harris,WR,26,"$318,000",0.22%,-,"$318,000",-,-,-,-,-,-,-,table_injured,2015
Bennett Jackson,SS,24,"$318,000",0.22%,-,"$318,000",-,-,-,-,-,-,-,table_injured,2015
Brett Jones,C,24,"$318,000",0.22%,-,"$318,000",-,-,-,-,-,-,-,table_injured,2015
James Morris,ILB,24,"$153,529",0.11%,-,"$153,529",-,-,-,-,-,-,-,table_injured,2015
Danny Aiken,LS,27,"$137,647",0.10%,-,"$175,294",-,-,-,-,-,-,-,table_injured,2015
David Baas,C,,"$3,225,000",2.25%,,,,,,,,,,table_dead,2015
