Player,Position,Age,Cap_Hit,Cap_Hit_Percentage,Dead_Cap,Base_Salary,Signing_Bonus,Per_Game_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Proration,Incentives,Cap_Type,Year
Trent Williams,LT,27,"$10,600,388",7.40%,"($34,215,000)","$4,750,000","$2,120,000",-,"$2,000,000","$1,480,388","$250,000",-,-,table_active,2015
Pierre Garcon,WR,29,"$9,700,000",6.77%,"($11,650,000)","$7,100,000","$2,200,000",-,"$250,000",-,"$150,000",-,-,table_active,2015
DeSean Jackson,WR,29,"$9,250,000",6.46%,"($11,750,000)","$3,750,000","$1,250,000",-,"$3,750,000",-,"$500,000",-,-,table_active,2015
Robert Griffin III,QB,25,"$6,719,713",4.69%,"($6,719,713)","$3,269,877","$3,449,836",-,-,-,-,-,-,table_active,2015
Ryan Kerrigan,OLB,27,"$6,238,000",4.35%,"($23,788,000)","$2,788,000","$3,200,000",-,"$250,000",-,-,-,-,table_active,2015
Jason Hatcher,DE,33,"$5,203,125",3.63%,"($9,518,000)","$2,750,000","$2,250,000",-,"$203,125",-,-,-,-,table_active,2015
DeAngelo Hall,CB,32,"$4,812,500",3.36%,"($2,437,500)","$4,000,000","$812,500",-,-,-,-,-,-,table_active,2015
Perry Riley,ILB,27,"$4,049,804",2.83%,"($2,099,608)","$3,000,000","$1,000,000",-,-,"$49,804",-,-,-,table_active,2015
Dashon Goldson,FS,31,"$4,000,000",2.79%,"($2,400,000)","$1,600,000",-,-,"$2,300,000",-,"$100,000",-,-,table_active,2015
Terrance Knighton,DT,29,"$4,000,000",2.79%,"($3,500,000)","$950,000","$2,000,000",-,"$500,000",-,"$550,000",-,-,table_active,2015
Brandon Scherff,G,24,"$3,857,388",2.69%,"($21,215,638)","$435,000","$3,422,388",-,-,-,-,-,-,table_active,2015
Chris Baker,DT,28,"$2,984,375",2.08%,"($2,050,000)","$1,700,000","$1,000,000",-,"$234,375",-,"$50,000",-,-,table_active,2015
Ricky Jean Francois,DT,29,"$2,000,000",1.40%,"($4,000,000)","$1,000,000","$1,000,000",-,-,-,-,-,-,table_active,2015
